"","Price","Surface","Building_type","District","Rent","Number_of_rooms","Condition"
"82",624900,47.9,"blok mieszkalny","Poświętne",450,2,"do wykończenia"
"83",1110000,45.3,"blok mieszkalny","Przedmieście Oławskie",600,2,"wysoki standard"
"84",790505,52.67,"blok mieszkalny","Klecina",400,3,"do wykończenia"
"85",480000,34.84,"blok mieszkalny","Stare Miasto",450,1,"dobry"
"86",570000,63,"blok mieszkalny","Psie Pole",900,4,"do remontu"
"87",1115900,93,"kamienica","Krzyki",480,4,"dobry"
"88",765000,72.3,"blok mieszkalny","Różanka",953,3,"bardzo dobry"
"89",539000,50,"kamienica","Karłowice",300,2,"do wykończenia"
"90",831075,60,"apartamentowiec","Krzyki",720,3,"do wykończenia"
"91",647000,55,"blok mieszkalny","Krzyki",600,3,"do remontu"
"92",579000,65,"blok mieszkalny","Nowy Dwór",600,3,"-"
"93",999000,86,"apartamentowiec","Stare Miasto",620,4,"wysoki standard"
"94",610000,40.14,"apartamentowiec","Jagodno",300,2,"bardzo dobry"
"95",511815,27.5,"blok mieszkalny","Stare Miasto",600,1,"do wykończenia"
"96",509000,51,"kamienica","Nadodrze",270,2,"dobry"
"97",1013877,82.07,"blok mieszkalny","Poświętne",600,4,"bardzo dobry"
"98",595000,49.44,"blok mieszkalny","Nowy Dwór",580,2,"dobry"
"99",1200000,85.62,"dom wielorodzinny","Swojczyce",1050,4,"dobry"
"100",882000,75.38,"blok mieszkalny","Poświętne",650,3,"do wykończenia"
"101",1e+06,33.44,"apartamentowiec","Nadodrze",600,1,"wysoki standard"
"102",1848000,107.73,"blok mieszkalny","Kleczków",1100,5,"do wykończenia"
"103",1349000,77,"apartamentowiec","Stare Miasto",800,4,"wysoki standard"
"104",879000,62.71,"kamienica","Plac Grunwaldzki",700,2,"wysoki standard"
"105",399000,35,"kamienica","Psie Pole",277,2,"wysoki standard"
"106",940763,79.28,"blok mieszkalny","Krzyki",900,4,"do wykończenia"
"107",1245434,56.77,"apartamentowiec","Stare Miasto",900,3,"bardzo dobry"
"108",659000,49.4,"blok mieszkalny","Gądów",780,3,"bardzo dobry"
"109",1226923,111.64,"blok mieszkalny","Różanka",10,4,"deweloperski"
"110",715000,65.86,"kamienica","Stare Miasto",650,2,"do remontu"
"111",759990,55,"blok mieszkalny","Krzyki",600,4,"bardzo dobry"
"112",499900,47,"blok mieszkalny","Karłowice",720,2,"dobry"
"113",729000,50.64,"blok mieszkalny","Krzyki",500,2,"do wykończenia"
"114",538376,33.13,"blok mieszkalny","Klecina",400,2,"do wykończenia"
"115",429000,33.5,"blok mieszkalny","Różanka",600,2,"do odświeżenia"
"116",723202,67.2,"blok mieszkalny","Księże",800,3,"do wykończenia"
"117",1056000,72.12,"blok mieszkalny","Kleczków",720,4,"do wykończenia"
"118",490000,38,"blok mieszkalny","Krzyki",510,2,"do remontu"
"119",8e+05,66.2,"blok mieszkalny","Jagodno",900,3,"wysoki standard"
"120",529000,29,"blok mieszkalny","Szczepin",500,2,"deweloperski"
"121",1685000,86.19,"apartamentowiec","Tarnogaj",900,4,"wysoki standard"
"122",888000,68.16,"blok mieszkalny","Kleczków",800,4,"do wykończenia"
"123",829000,46.12,"blok mieszkalny","Szczepin",550,2,"bardzo dobry"
"124",748000,54.24,"blok mieszkalny","Krzyki",600,3,"do wykończenia"
"125",695000,50,"blok mieszkalny","Różanka",900,2,"bardzo dobry"
"126",970000,68.11,"apartamentowiec","Poświętne",722,3,"wysoki standard"
"127",1057500,70.5,"blok mieszkalny","Krzyki",800,4,"do wykończenia"
"128",719900,63,"blok mieszkalny","Psie Pole",700,4,"wysoki standard"
"129",695000,59.54,"blok mieszkalny","Lipa Piotrowska",770,3,"-"
"130",751220,38.23,"blok mieszkalny","Stare Miasto",450,2,"do wykończenia"
"131",671800,38.55,"blok mieszkalny","Krzyki",450,2,"do wykończenia"
"132",550000,99.83,"kamienica","Sołtysowice",1100,3,"-"
"133",775000,65,"blok mieszkalny","Nowy Dwór",700,3,"wysoki standard"
"134",989000,91.1,"blok mieszkalny","Gądów",1500,4,"wysoki standard"
"135",664000,32,"apartamentowiec","Stare Miasto",400,2,"wysoki standard"
"136",756000,55.8,"blok mieszkalny","Krzyki",600,3,"do wykończenia"
"137",683876,63.03,"blok mieszkalny","Psie Pole",400,3,"do wykończenia"
"138",589404,33.43,"blok mieszkalny","Muchobór Mały",450,1,"do wykończenia"
"139",997257,102.81,"kamienica","Grabiszyn",800,4,"do odświeżenia"
"140",799000,69.65,"blok mieszkalny","Partynice",669,3,"bardzo dobry"
"141",595000,48.3,"blok mieszkalny","Księże",600,2,"do wykończenia"
"142",699999,62.8,"blok mieszkalny","Oporów",700,3,"do wykończenia"
"143",1225000,63,"blok mieszkalny","Tarnogaj",999,3,"wysoki standard"
"144",360000,22.35,"blok mieszkalny","Krzyki",300,1,"do wykończenia"
"145",748011,49.57,"blok mieszkalny","Klecina",500,2,"do wykończenia"
"146",1273000,51,"apartamentowiec","Krzyki",600,2,"wysoki standard"
"147",890000,82,"kamienica","Krzyki",912,3,"bardzo dobry"
"148",780000,49,"blok mieszkalny","Borek",800,2,"dobry"
"149",626000,54.1,"blok mieszkalny","Krzyki",900,3,"dobry"
"150",602000,42.8,"blok mieszkalny","Księże",420,2,"do wykończenia"
"151",750000,34.3,"apartamentowiec","Szczepin",638,1,"bardzo dobry"
"152",609000,44.08,"blok mieszkalny","Widawa",500,2,"do wykończenia"
"153",1079900,68.16,"apartamentowiec","Kleczków",600,4,"do wykończenia"
"154",555000,46,"blok mieszkalny","Grabiszyn",600,2,"wysoki standard"
"155",1150000,147.08,"kamienica","Ołbin",2200,4,"do wykończenia"
"156",890000,68.88,"kamienica","Borek",606,2,"do remontu"
"157",625500,50.04,"blok mieszkalny","Księże",500,2,"do wykończenia"
"158",659640,54.97,"blok mieszkalny","Maślice",400,3,"do wykończenia"
"159",970000,97.72,"kamienica","Nadodrze",600,3,"dobry"
"160",799000,73.48,"blok mieszkalny","Muchobór Wielki",594,3,"wysoki standard"
"161",783730,62.2,"blok mieszkalny","Oporów",470,3,"do wykończenia"
"162",423000,32.74,"kamienica","Nadodrze",300,1,"dobry"
"163",522997,27.49,"blok mieszkalny","Stare Miasto",274,1,"do wykończenia"
"164",675000,65,"blok mieszkalny","Jagodno",1000,3,"nowe wykończone"
"165",769000,75.17,"kamienica","Grabiszyn",917,3,"bardzo dobry"
"166",970490,52.27,"blok mieszkalny","Stare Miasto",600,3,"bardzo dobry"
"167",882860,75.38,"blok mieszkalny","Poświętne",550,3,"do wykończenia"
"168",706900,40.47,"blok mieszkalny","Krzyki",450,2,"do wykończenia"
"169",514495,37.03,"blok mieszkalny","Szczepin",700,2,"wysoki standard"
"170",826648,58.7,"blok mieszkalny","Polanowice",528,2,"do wykończenia"
