"","Price","Surface","Building_type","District","Rent","Number_of_rooms","Condition"
"2332",1229000,86.69,"blok mieszkalny","Szczepin",900,4,"bardzo dobry"
"2333",1187225,91.35,"blok mieszkalny","Klecina",920,5,"do wykończenia"
"2334",943250,38.5,"apartamentowiec","Stare Miasto",580,1,"do wykończenia"
"2335",899999,76.49,"blok mieszkalny","Jagodno",712,3,"bardzo dobry"
"2336",1050000,84,"kamienica","Ołbin",552,3,"wysoki standard"
"2337",665000,54.4,"kamienica","Nadodrze",500,2,"bardzo dobry"
"2338",479000,54,"kamienica","Psie Pole",400,3,"do remontu"
"2339",595000,48.3,"blok mieszkalny","Księże",600,2,"do wykończenia"
"2340",1899000,80,"apartamentowiec","Grabiszyn",1630,3,"bardzo dobry"
"2341",699000,59.51,"apartamentowiec","Wojszyce",812,2,"bardzo dobry"
"2342",659000,59,"blok mieszkalny","Jagodno",950,2,"bardzo dobry"
"2343",926900,71.3,"apartamentowiec","Ołbin",710,4,"do wykończenia"
"2344",769000,50,"blok mieszkalny","Krzyki",600,2,"wysoki standard"
"2345",612026,60.15,"blok mieszkalny","Lipa Piotrowska",600,3,"do wykończenia"
"2346",1179000,91,"kamienica","Ołbin",480,5,"bardzo dobry"
"2347",703075,53.31,"blok mieszkalny","Krzyki",550,2,"do wykończenia"
"2348",650000,38,"apartamentowiec","Tarnogaj",480,2,"bardzo dobry"
"2349",670000,53.24,"blok mieszkalny","Poświętne",550,3,"do wykończenia"
"2350",629995,40.17,"blok mieszkalny","Jagodno",290,2,"wysoki standard"
"2351",856813,64.3,"blok mieszkalny","Księże",640,3,"do wykończenia"
"2352",535936,41.3,"blok mieszkalny","Księże",500,2,"do wykończenia"
"2353",699900,35,"blok mieszkalny","Grabiszyn",300,2,"nowe wykończone"
"2354",860000,70.12,"blok mieszkalny","Huby",850,3,"wysoki standard"
"2355",625500,50.04,"blok mieszkalny","Księże",550,2,"bardzo dobry"
"2356",820000,66.7,"blok mieszkalny","Klecina",750,3,"bardzo dobry"
"2357",899000,67.3,"blok mieszkalny","Krzyki",790,4,"do odświeżenia"
